제품명,브랜드,AI여부,CPU브랜드,CPU등급,그래픽,RAM(GB),배터리용량,무게(kg),화면크기(인치),가격,리뷰수,용도,용도_게임용,용도_그래픽작업용,용도_사무,용도_휴대용,has_rating,별점,외장그래픽,등록일,등록_경과월,Cluster,OS_프리도스,OS_윈도우11,OS_macOS
MSI 크리에이터 M16 HX C14VGG-i9,MSI,0,인텔,9,외장,32.0,65.0,2.38,16.0,3199000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,3,1,0,0
MSI 크로스헤어 17 HX D14VGKG-i9 QHD,MSI,0,인텔,9,외장,32.0,90.0,2.8,17.0,2841280,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,24.04.,23,3,1,0,0
MSI 소드 16 HX B14VFKG QHD WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.3,16.0,2305780,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,2,0,1,0
MSI 써밋 E16 Flip A13VET,MSI,0,인텔,7,외장,16.0,82.0,2.1,16.0,2690000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.03.,36,3,1,0,0
MSI 스텔스 A16 AI+ A3XVGG-R9 4K Mini LED W11,MSI,1,AMD,9,외장,32.0,99.9,2.1,16.0,4990000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.10.,17,0,0,1,0
MSI 벡터 17 HX A14VGG-i9 QHD WIN11 32GB램,MSI,0,인텔,9,외장,32.0,90.0,3.0,17.0,3495200,1,"게임용 , 그래픽작업용",1,1,0,0,1,3.0,1,24.01.,26,2,0,1,0
MSI 벡터 17 HX A14VGG-i9 QHD 32GB램,MSI,0,인텔,9,외장,32.0,90.0,3.0,17.0,3444120,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.01.,26,3,1,0,0
MSI 프레스티지 13 AI Evo A1MG W11,MSI,1,인텔,7,내장,16.0,75.0,0.99,13.3,2089890,1,사무,0,0,1,0,1,3.0,0,24.01.,26,4,0,1,0
MSI 펄스 17 B13VGK-i9 QHD 32GB램,MSI,0,인텔,9,외장,32.0,90.0,2.7,17.3,2597880,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,23.10.,29,3,1,0,0
MSI 크리에이터 Z17 HX Studio A13VFT-i9,MSI,0,인텔,9,외장,16.0,90.0,2.49,17.0,3585000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,23.06.,33,3,1,0,0
MSI GF시리즈 Sword GF76 A12UDX 화이트 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1874410,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI GF시리즈 Thin GF63 12VF WIN11 16GB램,MSI,0,인텔,7,외장,16.0,52.4,1.77,15.6,1920000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,2,0,1,0
MSI Stealth 17 Studio A13VH-i9 4K Mini LED W11,MSI,0,인텔,9,외장,32.0,99.9,2.8,17.3,4990000,5,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI 모던시리즈 모던14 C12M WIN11,MSI,0,인텔,7,내장,8.0,39.3,1.4,14.0,1090000,1,사무,0,0,1,0,1,5.0,0,22.08.,43,4,0,1,0
MSI GF시리즈 Sword GF76 A11UE 화이트,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1790000,4,게임용,1,0,0,0,1,5.0,1,21.07.,56,3,1,0,0
MSI 스텔스 16 AI Studio A1VFG-U9 QHD WIN11 64GB램,MSI,1,인텔,9,외장,64.0,99.9,1.99,16.0,3798000,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,24.04.,23,0,0,1,0
MSI 스텔스 16 AI Studio A1VFG-U9 QHD,MSI,1,인텔,9,외장,16.0,99.9,1.99,16.0,2564050,4,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.04.,23,5,1,0,0
MSI GP시리즈 Vector GP68 HX 13VH-i9 QHD WIN11 32GB램,MSI,0,인텔,9,외장,32.0,90.0,2.67,16.0,4390000,1,"게임용 , 그래픽작업용",1,1,0,0,1,1.0,1,23.08.,31,2,0,1,0
MSI GP시리즈 Vector GP68 HX 13VH-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,2.67,16.0,3999000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.08.,31,3,1,0,0
MSI GF시리즈 Thin GF63 12VF-i5 16GB램,MSI,0,인텔,5,외장,16.0,52.4,1.77,15.6,1710000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI GF시리즈 Sword GF66 B12VGK 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,3360000,2,게임용,1,0,0,0,1,4.5,1,23.04.,35,3,1,0,0
레노버 요가 Slim7 Carbon 13IRP8 83AY002MKR,레노버,0,인텔,7,내장,16.0,50.0,0.972,13.3,2690000,0,사무,0,0,1,0,0,0.0,0,23.03.,36,1,0,1,0
MSI Stealth 17 Studio A13VH-i9 4K Mini LED W11 64GB램,MSI,0,인텔,9,외장,64.0,99.9,2.8,17.3,5359000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,23.02.,37,2,0,1,0
MSI 벡터 17 HX A13VHG-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,3.0,17.0,3686500,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.03.,24,3,1,0,0
MSI 브라보 17 C7VF 프로 WIN11 64GB램,MSI,0,AMD,7,외장,64.0,53.5,2.7,17.3,3210000,1,게임용,1,0,0,0,1,3.0,1,23.07.,32,2,0,1,0
MSI GF시리즈 Sword GF76 A12UE 포스 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1499000,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,3,1,0,0
MSI GF시리즈 Sword GF76 A12UE 포스,MSI,0,인텔,7,외장,8.0,53.5,2.6,17.3,1349000,1,게임용,1,0,0,0,1,4.0,1,23.02.,37,3,1,0,0
MSI 스텔스 16 Mercedes-AMG A1VGG OLED W11,MSI,1,인텔,9,외장,32.0,99.9,1.99,16.0,4299000,3,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.08.,19,0,0,1,0
MSI 벡터 17 HX A14VGG-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,3.0,17.0,3295000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.01.,26,3,1,0,0
MSI 브라보 15 C7VFKP-R9 16GB램,MSI,1,AMD,9,외장,16.0,53.5,2.25,15.6,1658000,1,게임용,1,0,0,0,1,5.0,1,23.08.,31,5,1,0,0
MSI GF시리즈 Sword GF66 B12VGK,MSI,0,인텔,7,외장,16.0,53.5,2.25,15.6,3290000,20,게임용,1,0,0,0,1,4.8,1,23.04.,35,3,1,0,0
MSI 사이보그 15 A12VF WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,1.98,15.6,2650000,2,게임용,1,0,0,0,1,4.5,1,23.03.,36,2,0,1,0
MSI 사이보그 15 A12VF 16GB램,MSI,0,인텔,7,외장,16.0,53.5,1.98,15.6,2463600,1,게임용,1,0,0,0,1,4.0,1,23.03.,36,3,1,0,0
MSI GP시리즈 Vector GP77 13VG-i9 QHD,MSI,0,인텔,9,외장,16.0,65.0,2.8,17.3,3399000,14,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,23.02.,37,3,1,0,0
MSI 프레스티지 15 A12UC 4K,MSI,0,인텔,7,외장,16.0,82.0,1.69,15.6,2120000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,3,1,0,0
MSI 프레스티지 15 A12UC,MSI,0,인텔,7,외장,16.0,82.0,1.69,15.6,1890000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,3,1,0,0
MSI GF시리즈 Sword GF76 A11UE 화이트 WIN10,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1990000,1,게임용,1,0,0,0,1,4.0,1,21.07.,56,2,0,0,0
MSI Stealth 16 Mercedes-AMG Motorsport A13VG 64GB램,MSI,0,인텔,9,외장,64.0,99.9,1.88,16.0,4299000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.08.,31,2,0,1,0
MSI GP시리즈 Vector GP68 HX 12VH-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,2.67,16.0,3886500,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,23.05.,34,3,1,0,0
MSI 펄스 17 AI C1VFKG-U9 QHD,MSI,1,인텔,9,외장,16.0,90.0,2.8,17.0,4099000,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,24.05.,22,5,1,0,0
MSI 벡터 17 HX A13VHG-i9,MSI,0,인텔,9,외장,16.0,90.0,3.0,17.0,3949000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.01.,26,3,1,0,0
MSI 브라보 15 C7VFKP-R9 WIN11 32GB램,MSI,1,AMD,9,외장,32.0,53.5,2.25,15.6,1829000,2,게임용,1,0,0,0,1,5.0,1,23.08.,31,0,0,1,0
MSI 크리에이터 M16 B13VF-i9,MSI,0,인텔,9,외장,16.0,53.5,2.26,16.0,2490000,22,"게임용 , 그래픽작업용",1,1,0,0,1,4.7,1,23.06.,33,3,1,0,0
MSI 펄스 17 B13VFK-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,2.7,17.3,2290000,6,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI 스텔스 17 Studio A13VG QHD,MSI,0,인텔,7,외장,16.0,99.9,2.8,17.3,2499000,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,23.04.,35,3,1,0,0
MSI GF시리즈 Sword GF76 A12UE 포스 WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,2499000,8,게임용,1,0,0,0,1,4.7,1,23.03.,36,2,0,1,0
MSI GF시리즈 Sword GF66 A11UD 화이트 WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,2370000,1,게임용,1,0,0,0,1,5.0,1,22.09.,42,2,0,1,0
레노버 요가 Slim7 Carbon 14ACN6 82L0004YKR,레노버,0,AMD,7,외장,16.0,61.0,1.09,14.0,1990000,60,"그래픽작업용 , 휴대용",0,1,0,1,1,4.5,1,22.01.,50,3,1,0,0
MSI GF시리즈 Sword GF66 A11SC-i5 블랙 16GB램,MSI,0,인텔,5,외장,16.0,53.0,2.25,15.6,1250000,2,게임용,1,0,0,0,1,4.5,1,21.07.,56,3,1,0,0
MSI 프레스티지 16 AI Studio B1VEG-U7 W11,MSI,1,인텔,7,외장,32.0,99.9,1.6,16.0,2849000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.07.,20,0,0,1,0
MSI 사이보그 14 A13VE 64GB램,MSI,0,인텔,7,외장,64.0,53.5,1.6,14.0,2067000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.04.,23,3,1,0,0
MSI 사이보그 14 A13VE 32GB램,MSI,0,인텔,7,외장,32.0,53.5,1.6,14.0,1927000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,24.04.,23,3,1,0,0
Razer Blade 16 13Gen R4070 QHD 32GB램,Razer,0,인텔,9,외장,32.0,95.2,2.45,16.0,4750000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,23.11.,28,2,0,1,0
MSI GF시리즈 Thin GF63 12VF,MSI,0,인텔,7,외장,8.0,52.4,1.77,15.6,2199000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI 사이보그 15 A12VF-i5 WIN11 32GB램,MSI,0,인텔,5,외장,32.0,53.5,1.98,15.6,2350000,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI 사이보그 15 A12VF WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,1.98,15.6,2503600,5,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI GP시리즈 Vector GP77 13VF QHD WIN11 64GB램,MSI,0,인텔,7,외장,64.0,65.0,2.8,17.3,2990000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI GP시리즈 Vector GP77 13VF QHD WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.8,17.3,2890000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI GP시리즈 Vector GP77 13VG QHD,MSI,0,인텔,7,외장,16.0,65.0,2.8,17.3,2399000,6,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI Stealth 17 Studio A13VH QHD,MSI,0,인텔,7,외장,16.0,99.9,2.8,17.3,3990000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,3,1,0,0
MSI GF시리즈 GF63 Thin 11UC-i5 WIN10,MSI,0,인텔,5,외장,16.0,52.4,1.77,15.6,1690000,2,게임용,1,0,0,0,1,4.0,1,22.07.,44,2,0,0,0
MSI GF시리즈 GF63 Thin 11UC-i5,MSI,0,인텔,5,외장,16.0,52.4,1.77,15.6,2290000,1,게임용,1,0,0,0,1,5.0,1,22.07.,44,3,1,0,0
MSI 프레스티지 15 A12UC 4K WIN11,MSI,0,인텔,7,외장,16.0,82.0,1.69,15.6,2210000,4,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,2,0,1,0
MSI GF시리즈 Sword GF76 A11UE 화이트 WIN10 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,2190000,18,게임용,1,0,0,0,1,4.9,1,21.07.,56,2,0,0,0
MSI 벡터 16 HX A14VHG-i9 QHD,MSI,0,인텔,9,외장,32.0,90.0,2.7,16.0,5990000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.01.,26,3,1,0,0
MSI 크리에이터 M16 B13VF-i9 WIN11 32GB램,MSI,0,인텔,9,외장,32.0,53.5,2.26,16.0,2590000,1,"게임용 , 그래픽작업용",1,1,0,0,1,1.0,1,23.07.,32,2,0,1,0
레노버 요가 Slim7 Pro 16IAH7 82VA002EKR,레노버,0,인텔,7,외장,16.0,75.0,2.08,16.0,1848000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.09.,42,3,1,0,0
MSI 스텔스 16 AI Studio A1VGG-U9 QHD W11,MSI,1,인텔,9,외장,32.0,99.9,1.99,16.0,6516000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.05.,22,0,0,1,0
MSI 벡터 17 HX A13VHG-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,90.0,3.0,17.0,5290000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.03.,24,2,0,1,0
MSI 벡터 17 HX A14VHG-i9 QHD,MSI,0,인텔,9,외장,16.0,90.0,3.0,17.0,4680000,6,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,24.01.,26,3,1,0,0
Razer Blade 16 13Gen R4070 QHD 64GB램,Razer,0,인텔,9,외장,64.0,95.2,2.45,16.0,6300000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,23.11.,28,2,0,1,0
MSI 브라보 17 C7VF 프로,MSI,0,AMD,7,외장,16.0,53.5,2.7,17.3,1990000,2,게임용,1,0,0,0,1,5.0,1,23.07.,32,3,1,0,0
MSI Stealth 16 Mercedes-AMG Motorsport A13VG,MSI,0,인텔,9,외장,32.0,99.9,1.88,16.0,3799000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.08.,31,2,0,1,0
MSI 크리에이터 M16 B13VF-i9 WIN11,MSI,0,인텔,9,외장,16.0,53.5,2.26,16.0,2490000,2,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,23.07.,32,2,0,1,0
MSI 크리에이터 Z17 HX Studio A13VFT-i9 WIN11 32GB램,MSI,0,인텔,9,외장,32.0,90.0,2.49,17.0,3490000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.07.,32,2,0,1,0
MSI 크리에이터 M16 B13VF-i9 64GB램,MSI,0,인텔,9,외장,64.0,53.5,2.26,16.0,2890000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.07.,32,3,1,0,0
MSI 펄스 17 B13VFK-i9 QHD WIN11 64GB램,MSI,0,인텔,9,외장,64.0,90.0,2.7,17.3,2990000,3,"게임용 , 그래픽작업용",1,1,0,0,1,4.6,1,23.06.,33,2,0,1,0
MSI GF시리즈 Thin GF63 12VF 16GB램,MSI,0,인텔,7,외장,16.0,52.4,1.77,15.6,2999000,1,게임용,1,0,0,0,1,5.0,1,23.06.,33,3,1,0,0
MSI 스텔스 17 Studio A13VG QHD WIN11 64GB램,MSI,0,인텔,7,외장,64.0,99.9,2.8,17.3,4490000,1,"게임용 , 그래픽작업용",1,1,0,0,1,3.0,1,23.04.,35,2,0,1,0
MSI 스텔스 17 Studio A13VG QHD 64GB램,MSI,0,인텔,7,외장,64.0,99.9,2.8,17.3,3189000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.04.,35,3,1,0,0
MSI 스텔스 17 Studio A13VG-i9 QHD,MSI,0,인텔,9,외장,16.0,99.9,2.8,17.3,2859000,8,"게임용 , 그래픽작업용",1,1,0,0,1,4.3,1,23.04.,35,3,1,0,0
Razer Blade 16 13Gen R4070 4K Dual,Razer,0,인텔,9,외장,32.0,95.2,2.45,16.0,4412120,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI GF시리즈 Sword GF76 A12UE 포스 WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,2699000,1,게임용,1,0,0,0,1,4.0,1,23.03.,36,2,0,1,0
MSI GF시리즈 Sword GF76 A12UE 포스 WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,2399000,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,2,0,1,0
MSI GP시리즈 Vector GP66 12UEO QHD OLED WIN11 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.38,15.6,3299000,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,23.02.,37,2,0,1,0
MSI GF시리즈 Sword GF76 A12UE 베이직 WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,1890000,1,게임용,1,0,0,0,1,5.0,1,22.12.,39,2,0,1,0
MSI GF시리즈 Sword GF76 A12UE 베이직 WIN11 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.6,17.3,1499000,1,게임용,1,0,0,0,1,5.0,1,22.12.,39,2,0,1,0
MSI GF시리즈 Sword GF66 A11UE 블랙 WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,1599000,1,게임용,1,0,0,0,1,4.0,1,22.09.,42,2,0,1,0
MSI GF시리즈 GF63 Thin 11UC-i5 WIN10 32GB램,MSI,0,인텔,5,외장,32.0,52.4,1.77,15.6,1990000,1,게임용,1,0,0,0,1,5.0,1,22.07.,44,2,0,0,0
MSI GF시리즈 Sword GF76 A12UC WIN11 64GB램,MSI,0,인텔,7,외장,64.0,53.5,2.6,17.3,2490000,1,게임용,1,0,0,0,1,5.0,1,23.01.,38,2,0,1,0
MSI GP시리즈 Vector GP76 12UH-i7 WIN11,MSI,0,인텔,7,외장,16.0,65.0,2.9,17.3,2799000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,2,0,1,0
MSI GS시리즈 Stealth GS77 12UH QHD W11,MSI,0,인텔,7,외장,32.0,99.9,2.8,17.3,3799000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,22.05.,46,2,0,1,0
MSI GF시리즈 Sword GF66 A12UE 블랙 WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,1910000,1,게임용,1,0,0,0,1,5.0,1,22.04.,47,2,0,1,0
MSI GF시리즈 Sword GF66 A12UE 블랙 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,2190000,1,게임용,1,0,0,0,1,5.0,1,22.04.,47,3,1,0,0
MSI 크리에이터 Z17 A12UGST W11,MSI,0,인텔,7,외장,32.0,90.0,2.49,17.0,3320000,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,22.07.,44,2,0,1,0
MSI GE시리즈 GE76 레이더 11UG WIN10 32GB램,MSI,0,인텔,7,외장,32.0,99.9,2.9,17.3,3990000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,21.12.,51,2,0,0,0
MSI GF시리즈 Sword GF66 A11SC-i7 화이트 WIN10 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.25,15.6,1420000,1,게임용,1,0,0,0,1,5.0,1,21.08.,55,2,0,0,0
MSI GF시리즈 Sword GF66 A11SC-i7 블랙 WIN10 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.25,15.6,1690000,2,게임용,1,0,0,0,1,4.5,1,21.07.,56,2,0,0,0
MSI GF시리즈 Sword GF66 A11SC-i5 화이트 WIN10 16GB램,MSI,0,인텔,5,외장,16.0,53.0,2.25,15.6,1390000,1,게임용,1,0,0,0,1,5.0,1,21.07.,56,2,0,0,0
MSI GF시리즈 Sword GF66 A11SC-i7 블랙 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.25,15.6,1590000,1,게임용,1,0,0,0,1,5.0,1,21.07.,56,3,1,0,0
MSI GF시리즈 Sword GF66 A11SC-i5 블랙,MSI,0,인텔,5,외장,8.0,53.0,2.25,15.6,1290000,3,게임용,1,0,0,0,1,5.0,1,21.07.,56,3,1,0,0
MSI GF시리즈 Sword GF66 A11SC-i5 화이트 16GB램,MSI,0,인텔,5,외장,16.0,53.0,2.25,15.6,1290000,1,게임용,1,0,0,0,1,4.0,1,21.07.,56,3,1,0,0
MSI GS시리즈 GS66 Stealth 11UG WIN10,MSI,0,인텔,7,외장,16.0,99.9,2.1,15.6,3390000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,21.07.,56,2,0,0,0
MSI 써밋 E13 Flip EVO A11MT 화이트,MSI,0,인텔,7,내장,32.0,70.0,1.35,13.4,1990000,4,사무,0,0,1,0,1,4.2,0,21.05.,58,4,0,0,0
MSI 모던시리즈 모던14 B4MW-R5 카본 그레이 WIN10 32GB램,MSI,0,AMD,5,내장,32.0,52.0,1.3,14.0,1490000,1,사무,0,0,1,0,1,4.0,0,21.04.,59,4,0,0,0
MSI GP시리즈 Vector GP66 12UGSO QHD 32GB램,MSI,0,인텔,7,외장,32.0,65.0,2.38,15.6,2599000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.03.,36,3,1,0,0
Razer Blade 15 Advanced 12Gen R3070Ti QHD,Razer,0,인텔,7,외장,16.0,80.0,2.01,15.6,3155500,11,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.04.,47,2,0,1,0
Razer Blade Pro 17 11Gen R3060 FHD,Razer,0,인텔,7,외장,16.0,70.5,2.75,17.3,6000000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,21.10.,53,2,0,0,0
MSI 펄스 17 B13VGK QHD WIN11,MSI,0,인텔,7,외장,16.0,90.0,2.7,17.3,2399000,1,"게임용 , 그래픽작업용",1,1,0,0,1,4.0,1,23.10.,29,2,0,1,0
MSI 펄스 17 B13VGK QHD,MSI,0,인텔,7,외장,16.0,90.0,2.7,17.3,2349000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.10.,29,3,1,0,0
MSI 펄스 17 B13VGK QHD WIN11 64GB램,MSI,0,인텔,7,외장,64.0,90.0,2.7,17.3,3399000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.10.,29,2,0,1,0
MSI GE시리즈 레이더 GE78 HX 13VH-i9 QHD W11,MSI,0,인텔,9,외장,32.0,99.9,3.1,17.0,4990000,2,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.05.,34,2,0,1,0
MSI 사이보그 15 A12VE-i5,MSI,0,인텔,5,외장,8.0,53.5,1.98,15.6,2135700,1,게임용,1,0,0,0,1,5.0,1,23.03.,36,3,1,0,0
MSI GP시리즈 Vector GP66 12UGSO QHD,MSI,0,인텔,7,외장,16.0,65.0,2.38,15.6,2549000,7,"게임용 , 그래픽작업용",1,1,0,0,1,4.5,1,23.03.,36,3,1,0,0
MSI GP시리즈 Vector GP66 12UEO QHD OLED WIN11 16GB램,MSI,0,인텔,7,외장,16.0,65.0,2.38,15.6,3099000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,23.02.,37,2,0,1,0
MSI 크리에이터 M16 A12UC WIN11 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.26,16.0,2490000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,2,0,1,0
MSI 크리에이터 M16 A12UC WIN11,MSI,0,인텔,7,외장,16.0,53.5,2.26,16.0,2290000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.07.,44,2,0,1,0
Razer Blade 15 Advanced 12Gen R3080Ti 4K,Razer,0,인텔,9,외장,32.0,80.0,2.01,15.6,5978570,10,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,22.04.,47,2,0,1,0
MSI GF시리즈 Sword GF66 A11UC 블랙 WIN10 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.25,15.6,1890000,1,게임용,1,0,0,0,1,5.0,1,21.10.,53,2,0,0,0
Razer Blade Pro 17 11Gen R3060 FHD 32GB램,Razer,0,인텔,7,외장,32.0,70.5,2.75,17.3,6000000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,21.10.,53,2,0,0,0
Razer Blade Pro 17 11Gen R3060 FHD 64GB램,Razer,0,인텔,7,외장,64.0,70.5,2.75,17.3,6000000,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,21.10.,53,2,0,0,0
MSI GF시리즈 Sword GF76 A11UE 화이트 32GB램,MSI,0,인텔,7,외장,32.0,53.5,2.6,17.3,1890000,1,게임용,1,0,0,0,1,3.0,1,21.07.,56,3,1,0,0
MSI GS시리즈 GS76 Stealth 11UH-i7 WIN10,MSI,0,인텔,7,외장,16.0,99.9,2.45,17.3,4090000,1,"게임용 , 그래픽작업용",1,1,0,0,1,5.0,1,21.07.,56,2,0,0,0
Razer Blade 16 13Gen R4080 QHD 64GB램,Razer,0,인텔,9,외장,64.0,95.2,2.45,16.0,5936550,0,"게임용 , 그래픽작업용",1,1,0,0,0,0.0,1,23.11.,28,2,0,1,0
Razer Blade 14 R9 Zen4 R4060 QHD,Razer,1,AMD,9,외장,16.0,68.1,1.84,14.0,6077500,23,"게임용 , 그래픽작업용",1,1,0,0,1,4.9,1,23.07.,32,0,0,1,0
MSI GE시리즈 레이더 GE66 12UGS-i9 QHD,MSI,0,인텔,9,외장,16.0,99.9,2.38,15.6,2890000,6,"게임용 , 그래픽작업용",1,1,0,0,1,4.8,1,22.11.,40,3,1,0,0
MSI GF시리즈 Sword GF66 A11UC 화이트 WIN10 16GB램,MSI,0,인텔,7,외장,16.0,53.5,2.25,15.6,1790000,1,게임용,1,0,0,0,1,5.0,1,21.10.,53,2,0,0,0
MSI 모던시리즈 모던14 B5M-R7 WIN10 32GB램,MSI,0,AMD,7,내장,32.0,39.0,1.3,14.0,1890000,1,사무,0,0,1,0,1,5.0,0,21.11.,52,4,0,0,0
